Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0004;
Sample Interval,3,2e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,0,05;
Label,;
Tiempo (ms);Voltaje (V)
1,35;0,04
1,35;0,04
1,35;0,04
1,36;0,04
1,36;0,04
1,36;0,04
1,37;0,04
1,37;0,04
1,37;0,04
1,38;0,04
1,38;0,04
1,38;0,04
1,39;0,05
1,39;0,04
1,39;0,05
1,40;0,04
1,40;0,04
1,40;0,04
1,41;0,04
1,41;0,04
1,41;0,04
1,41;0,04
1,42;0,04
1,42;0,04
1,42;0,04
1,43;0,05
1,43;0,04
1,43;0,04
1,44;0,04
1,44;0,04
1,44;0,04
1,45;0,04
1,45;0,04
1,45;0,04
1,46;0,04
1,46;0,04
1,46;0,04
1,47;0,04
1,47;0,04
1,47;0,04
1,48;0,04
1,48;0,04
1,48;0,04
1,49;0,04
1,49;0,04
1,49;0,04
1,49;0,04
1,50;0,04
1,50;0,04
1,50;0,04
1,51;0,04
1,51;0,04
1,51;0,04
1,52;0,04
1,52;0,05
1,52;0,04
1,53;0,04
1,53;0,05
1,53;0,04
1,54;0,05
1,54;0,04
1,54;0,04
1,55;0,04
1,55;0,04
1,55;0,04
1,56;0,04
1,56;0,04
1,56;0,04
1,57;0,04
1,57;0,04
1,57;0,04
1,57;0,04
1,58;0,04
1,58;0,04
1,58;0,04
1,59;0,04
1,59;0,04
1,59;0,04
1,60;0,04
1,60;0,04
1,60;0,04
1,61;0,04
1,61;0,04
1,61;0,04
1,62;0,04
1,62;0,04
1,62;0,04
1,63;0,04
1,63;0,04
1,63;0,04
1,64;0,04
1,64;0,04
1,64;0,04
1,65;0,04
1,65;0,04
1,65;0,04
1,65;0,04
1,66;0,04
1,66;0,04
1,66;0,04
1,67;0,04
1,67;0,04
1,67;0,04
1,68;0,04
1,68;0,04
1,68;0,04
1,69;0,04
1,69;0,05
1,69;0,04
1,70;0,04
1,70;0,04
1,70;0,04
1,71;0,05
1,71;0,04
1,71;0,04
1,72;0,04
1,72;0,04
1,72;0,04
1,73;0,04
1,73;0,04
1,73;0,05
1,73;0,04
1,74;0,04
1,74;0,04
1,74;0,04
1,75;0,04
1,75;0,04
1,75;0,04
1,76;0,04
1,76;0,04
1,76;0,04
1,77;0,04
1,77;0,04
1,77;0,04
1,78;0,04
1,78;0,04
1,78;0,04
1,79;0,04
1,79;0,04
1,79;0,04
1,80;0,04
1,80;0,04
1,80;0,04
1,81;0,04
1,81;0,05
1,81;0,04
1,81;0,04
1,82;0,04
1,82;0,04
1,82;0,04
1,83;0,04
1,83;0,04
1,83;0,04
1,84;0,04
1,84;0,04
1,84;0,04
1,85;0,04
1,85;0,04
1,85;0,04
1,86;0,04
1,86;0,04
1,86;0,04
1,87;0,04
1,87;0,04
1,87;0,04
1,88;0,04
1,88;0,04
1,88;0,04
1,89;0,04
1,89;0,04
1,89;0,04
1,89;0,04
1,90;0,04
1,90;0,04
1,90;0,04
1,91;0,04
1,91;0,04
1,91;0,04
1,92;0,04
1,92;0,04
1,92;0,04
1,93;0,04
1,93;0,04
1,93;0,04
1,94;0,04
1,94;0,04
1,94;0,04
1,95;0,04
1,95;0,04
1,95;0,04
1,96;0,04
1,96;0,04
1,96;0,04
1,97;0,04
1,97;0,04
1,97;0,04
1,97;0,04
1,98;0,04
1,98;0,04
1,98;0,04
1,99;0,04
1,99;0,04
1,99;0,04
2,00;0,04
2,00;0,04
2,00;0,04
2,01;0,04
2,01;0,04
2,01;0,04
2,02;0,04
2,02;0,04
2,02;0,04
2,03;0,04
2,03;0,04
2,03;0,04
2,04;0,04
2,04;0,04
2,04;0,04
